Inhalt der zu verarbeitenden Matrizen
-------------------------------------
In jeder Dateizeile stehen, getrennt durch Tabulator:
Zeile	Spalte	Wert
4680	30033	5
11192	29920	1
9128	6635	5
4457	19125	4
7180	3946	5
15640	9502	6
685	3124	5
31072	1745	5
1365	10949	7
567	7040	4
19915	8438	6
23932	21429	6
8095	29208	2
27866	30888	4
13714	5683	4
17946	28861	5
7448	15116	4
23369	30891	7
13216	5057	7
20015	7802	5
15528	12822	4
782	8926	1
6347	12492	2
13479	23191	7
17728	6295	7
32750	3295	4
18574	29073	1
10239	27915	4
23649	28983	1
17192	31975	1
19897	14680	3
10277	12927	3
1008	13950	6
24300	30542	5
13396	27826	5
6799	20482	6
19257	30643	1
27166	863	1
21715	16372	8
27802	15338	3
32576	30713	3
30796	13149	2
31871	28147	6
24612	18445	7
26191	11174	7
25068	15316	3
7972	21248	8
24172	6432	5
21179	12262	5
22745	9765	7
32247	10278	3
27944	14191	8
6393	6288	4
1296	27212	4
28617	23202	4
8679	9406	5
13537	12360	5
9638	31731	5
13937	15267	8
12201	9086	6
10817	1749	5
29197	5820	8
3446	1090	8
27324	6963	2
27813	27076	3
14215	21962	7
24060	27076	3
24281	17956	1
23140	9021	3
28394	25232	2
17392	15886	6
21374	5188	7
5870	6948	1
18069	18142	5
20598	22632	2
23181	28512	7
20564	13939	8
23729	11816	6
13714	17013	4
17702	19594	2
15384	4310	4
9644	8728	2
18198	25970	2
6849	14021	8
22326	27784	6
15091	3671	1
31947	13230	3
28302	16113	6
13682	29804	1
3566	6039	7
25058	2633	7
12048	31992	1
27619	11374	2
15168	4580	5
7580	18224	8
19447	3640	3
25279	11292	3
31296	8747	8
312	20312	1
20030	15668	4
6760	32639	3
25778	22282	8
18205	314	5
16005	15990	3
12215	19007	8
4810	17626	4
28487	20366	3
30128	11975	4
11144	2294	6
18274	28922	4
25846	75	8
13248	16018	4
27013	3284	3
10361	6238	8
22933	19421	4
6385	13972	3
8758	3443	3
16366	7510	7
232	22696	8
23828	16840	2
25673	27900	1
16510	10403	2
6777	20157	7
24877	10385	6
2334	2682	7
19195	18871	2
29764	32731	5
30543	26920	5
28822	15997	7
12238	8778	8
21152	24488	5
31927	22856	6
4124	24050	2
26799	26918	4
26992	18480	7
8743	15640	5
8435	24385	8
=== Matrix Nr. 23 ===
18083	20523	8
21131	18077	8
32389	32601	7
31169	32168	8
4149	6563	6
11624	27704	3
18355	30416	3
24411	30423	2
3064	26829	8
21517	24480	8
19888	25844	3
22739	16075	2
13115	6563	7
20792	10824	4
5104	6619	2
=== Matrix Nr. 24 ===
21183	17903	7
2318	11246	6
975	32310	8
9463	26978	6
7627	11632	4
20853	3468	7
7045	28665	5
31804	23963	7
5249	1504	6
9451	20480	6
23245	24811	8
8763	21115	1
29783	29710	7
7194	5434	6
18947	5544	2
22235	26307	7
13817	22563	1
4056	16295	1
18392	13518	3
26115	28206	1
28888	21249	6
10596	12667	4
8958	10741	6
631	20700	7
5618	17879	7
16096	10046	2
10517	10481	8
17143	1022	7
3555	10248	3
14353	31125	8
22228	19782	5
7578	1987	4
1580	20286	2
30550	21073	1
5499	4588	2
32103	5762	7
31170	1481	1
742	8380	4
12663	7492	1
20021	28967	3
16602	2876	8
27214	22818	3
30294	7513	2
6851	29922	4
13298	23370	2
9257	19359	5
7150	12378	7
6426	26126	8
11811	22237	4
24609	7719	6
=== Matrix Nr. 25 ===
28873	5463	2
16675	7263	8
31397	11127	1
2341	13786	5
28114	8507	2
18819	31823	1
31138	5326	4
29675	7049	7
8005	13321	2
9918	27082	7
2111	21666	6
30121	10115	3
3795	10842	3
26763	8215	1
30696	31968	2
24334	164	6
6933	1815	5
4468	6921	3
8411	26620	7
6023	15008	8
26675	20850	1
17586	32102	8
23543	31626	6
21679	8075	6
21972	25386	3
=== Matrix Nr. 26 ===
26183	8343	7
28613	4382	4
10774	28844	1
9800	8958	5
2396	14737	7
15559	8550	8
27958	10883	8
17139	26481	6
18652	16131	6
13567	3461	8
10674	6168	2
18940	32192	4
26192	31936	7
27331	8881	8
8656	16773	7
20790	4385	7
19197	110	3
17087	13327	4
5945	454	7
2638	28221	8
18235	19311	1
5450	26318	8
22511	20415	3
13365	24303	8
11287	30224	1
19181	3202	5
19342	1678	3
1488	6717	5
6956	12271	6
16433	10178	7
31942	14610	8
32222	1174	2
10430	18865	1
31912	30468	4
23320	23739	3
17449	15437	6
11288	13285	6
2366	8631	6
12495	22419	6
2032	11861	7
23078	7986	2
29120	25505	3
2369	15756	2
1938	12094	7
1621	10695	2
15788	21115	4
839	18700	1
11647	21615	7
9642	17924	2
27707	6602	4
19450	23222	5
28251	2469	2
28705	18020	5
16300	18687	3
15791	3194	8
21620	7852	5
15432	15021	8
25554	4050	4
24372	9182	6
25702	18779	5
28955	2651	4
15328	1243	3
16203	28558	8
18188	22485	8
10785	30793	4
25458	21105	2
26726	23586	3
25769	3837	8
27078	31649	4
11999	26055	4
26789	19502	1
23894	28986	5
30203	6661	4
14014	31812	3
10764	32655	6
2734	26988	2
15115	12029	3
15030	11042	6
5896	5620	6
30392	5677	2
20672	19619	6
26506	15689	7
18212	30890	5
29716	12620	3
32182	8589	3
19556	876	4
12295	14252	7
17257	20358	2
21758	4091	2
2912	29285	3
5809	9706	1
29198	29830	8
18934	25153	4
4443	11214	2
15606	16600	7
24054	14111	5
22119	18550	7
24829	19680	6
1850	12090	8
2785	29128	4
3807	2909	1
15620	8079	4
5742	25390	8
13504	15191	7
16721	8339	3
15826	2533	7
4682	11129	5
19304	9217	4
31210	3065	8
7737	22430	1
8139	16406	5
17274	29330	7
2613	14948	7
19334	14853	3
16368	5628	6
26769	24040	1
28273	16770	5
1227	6669	1
4784	1582	5
7341	32437	8
11570	12559	6
5488	6322	2
14910	5128	3
12511	30069	8
3382	24889	5
30460	22930	5
23167	24264	5
17205	172	1
15753	27216	3
26143	29639	1
28875	2651	3
19944	32612	2
19419	12721	5
14083	9478	6
32739	11113	4
21443	7142	7
1312	14324	1
29908	8957	7
19507	674	8
21974	6839	6
=== Matrix Nr. 27 ===
7273	5203	3
6285	9960	2
9289	4938	7
32348	2517	7
13313	18781	3
25349	3957	3
29076	24834	8
11496	19507	4
9419	24284	1
9785	13529	4
3424	24792	4
20439	15729	7
8155	27907	4
2522	19251	1
5649	27026	5
14065	27103	3
1618	1243	8
5913	28448	3
16543	12086	1
19296	5812	4
4990	8687	6
6065	14494	2
25169	5597	4
22742	5771	2
13617	4406	8
5173	28709	8
11965	26552	5
21497	9758	3
11873	31040	5
32156	16899	3
26111	14946	7
18962	19781	8
24577	28580	2
19978	3064	3
28472	3944	3
26102	48	2
21534	18345	3
11488	8465	4
6985	31765	4
13875	31971	6
26428	1586	1
25093	8137	5
3025	25730	4
8319	8434	6
11250	9966	4
9333	13917	1
31331	5598	6
11869	13182	1
25795	7872	3
4107	29039	4
23564	19450	4
7952	24432	6
12351	18284	1
20107	28894	2
7428	28183	2
27332	23027	4
17242	8323	2
16370	7908	4
28850	3827	2
=== Matrix Nr. 28 ===
8953	28983	4
19980	4496	7
11777	17776	4
29158	31760	1
23603	32611	2
26153	6531	7
22279	7621	3
3921	26695	2
3296	32218	8
5249	5981	7
23534	13907	8
72	32141	2
3466	13490	6
24635	6172	4
23944	19156	2
15801	25092	5
9789	17009	7
29806	21993	6
21787	27306	1
=== Matrix Nr. 29 ===
15213	31813	7
21817	30729	4
15361	21631	7
29738	2424	1
23935	747	5
15067	17686	6
4035	18142	4
6021	22015	8
26140	9058	5
22217	12374	7
21197	10801	4
6546	29498	2
22396	19441	4
604	6248	2
6424	16891	7
4061	28603	1
1568	25862	7
21586	14537	3
13402	24968	1
16349	5959	2
22349	1472	4
=== Matrix Nr. 30 ===
22963	12043	1
17189	11923	7
22281	31409	5
26568	28610	2
20483	31831	3
7745	18739	1
12827	18931	5
5842	24118	6
19626	16164	8
16456	1291	2
16290	23698	1
12646	29726	7
32160	8504	3
899	8113	4
18893	1074	1
14769	21986	5
28507	13791	5
20996	8286	8
13174	1400	4
1745	14871	6
1021	17515	4
9219	19670	4
29805	21279	8
14546	32140	2
1977	15083	4
26749	24474	5
24838	26461	3
15589	1690	8
3718	17711	5
13323	27468	8
2277	22392	1
24034	940	8
1798	17403	5
20991	5986	4
14599	32163	6
7424	20747	2
11960	8329	6
5061	8718	2
27924	21790	6
20179	4591	7
21341	14405	2
31351	21356	8
15331	25740	2
14469	18627	7
3495	23747	5
5825	19948	3
2894	21142	4
10584	31415	3
24872	9220	3
15095	26626	3
=== Matrix Nr. 31 ===
5943	193	6
19547	10891	5
28024	1258	3
23412	31500	3
6106	18573	8
11884	13978	5
7336	31735	4
14645	21380	1
4949	14030	8
13421	26149	5
31463	13389	6
12981	11878	4
9844	24910	7
32202	12768	6
9074	28898	3
22282	28642	4
20673	12962	8
28458	5058	5
28352	12802	7
5952	32581	6
4044	18507	3
24947	27144	1
19950	21258	5
12788	29732	8
21942	16145	2
12548	14730	7
32616	7267	3
13620	203	2
9987	2460	3
10542	23362	8
2264	1468	8
12950	17892	6
27552	11604	7
2035	24857	1
8787	9354	4
407	31595	2
16179	377	1
5633	15860	4
32449	708	8
11317	6865	4
19618	19589	3
3825	31998	5
7565	23003	7
25039	30318	5
229	23489	4
21947	5175	8
4494	28152	4
3132	27180	1
8463	28965	5
12669	7741	1
26932	1401	6
25385	4464	5
3994	9077	6
3692	1881	4
9206	14509	8
6583	11852	3
19699	3225	4
32538	31180	6
24826	5582	5
596	11747	2
32581	25147	5
31209	5467	4
13061	21822	3
17625	30236	2
3465	21670	6
3791	15896	3
17829	6661	7
741	26761	7
6606	20446	4
4427	3698	8
16285	31371	1
1656	18073	4
26308	31483	1
29351	14463	1
3729	19857	8
22226	25340	2
29839	4554	1
18543	25224	4
2034	30581	8
20365	19543	1
24777	29862	4
15152	19157	6
2859	13222	2
5625	23848	7
21976	2706	6
22901	16058	7
4364	5733	5
2231	23803	7
5489	20891	5
2815	12513	5
21621	17085	3
1432	7886	4
27244	14700	2
8259	31449	6
71	4292	6
8631	18624	6
3530	9266	3
14888	5599	2
3719	8210	3
12245	12544	4
19203	10674	8
1537	22252	8
17619	4738	7
12532	31733	2
28565	30887	4
2504	31230	1
31242	27432	1
2870	26537	6
20937	29280	5
31901	2218	2
4406	19857	7
8950	28795	6
31431	23706	6
26493	26594	5
21949	6465	4
12839	15108	4
16348	17819	4
2630	6402	3
9416	7529	2
31213	28489	5
22282	30351	7
16619	31265	3
4082	24808	4
10873	28962	6
13008	4134	3
25843	4502	7
25908	14981	7
7465	8682	1
12603	11630	7
26423	12487	7
18448	13674	1
15583	5992	7
27180	10477	5
7643	31289	5
18428	32226	1
14497	29692	7
10475	24578	3
653	5844	4
8208	21078	1
23666	19468	6
23788	4221	8
23804	9846	3
3059	13445	1
11375	17585	7
3552	11387	2
5531	14267	6
24066	22274	5
7724	22429	4
7935	16519	6
11415	21259	7
17090	755	8
3152	26703	6
28052	18414	1
4374	25828	1
23944	29192	2
16495	5754	2
5832	2914	7
21681	4968	6
10854	22712	7
12071	31153	5
28851	26066	1
30514	19240	2
20824	7363	1
17021	12887	2
672	2952	3
18065	3890	7
22190	29667	1
20088	31686	1
2207	12163	6
3884	22617	2
21692	26324	1
3071	11198	3
20048	8982	3
6214	4036	6
10944	29831	5
13807	19216	3
27885	19393	8
10434	28858	8
19731	20898	3
9344	13194	8
14489	2895	7
4128	23979	4
8851	58	7
729	24356	8
26856	30256	4
28600	29825	6
6991	15315	3
31473	21611	7
18606	29720	6
16436	28200	3
27764	30103	6
29608	23598	1
30987	9943	1
20307	5466	2
7543	23766	3
15653	27751	4
5046	13179	3
12763	24752	5
21124	12222	5
18289	29804	2
14473	18851	6
26079	31717	4
37	20571	1
16212	30294	5
21069	1317	4
8498	19564	4
29749	22992	4
11631	6576	4
7879	1508	8
2090	15669	4
24583	12759	6
29594	9059	6
17922	23018	4
18585	23995	1
20434	21110	7
17535	32480	5
3293	5580	7
21769	8273	3
15200	18435	8
29047	17551	5
28376	14143	1
15414	17325	8
7159	8025	4
10916	27000	5
11035	11765	8
22736	13237	7
13190	16475	7
3407	1071	5
4295	9917	4
21874	28040	8
28947	28841	6
7299	21253	8
5760	29914	2
16604	13008	2
7779	31393	1
32746	28524	4
2362	13730	6
11896	6214	5
17131	13465	6
9446	23209	1
24131	2650	3
7948	15237	2
26615	25690	8
7667	20416	7
29841	1105	7
11707	11283	7
10776	15071	7
23611	1692	3
20813	7995	2
15681	21420	8
17362	25678	1
8058	21629	3
9119	26063	6
8558	27089	3
32134	26678	8
14356	21927	1
7099	7331	5
227	16016	2
11932	22026	4
30580	3144	4
24875	3910	7
27404	26773	7
15349	31198	4
27303	8361	5
13406	23455	2
24157	8817	3
16271	5472	1
15160	11928	1
1905	22405	6
15056	25385	8
17785	22808	3
21069	19476	2
6716	27806	8
23710	32258	1
18937	6627	7
6658	13626	3
26016	1660	7
23356	21898	6
25852	32429	1
30981	18799	4
25102	28404	5
10392	28138	4
20157	8814	5
25714	17870	3
30043	13505	8
3220	27242	4
10681	26214	3
9200	26836	5
5058	30810	8
14531	16965	3
15825	28828	4
9228	27465	3
24634	15120	2
28770	14510	3
4289	4755	7
29396	31345	8
22521	3178	6
=== Matrix Nr. 32 ===
153	25633	8
1984	5199	8
17079	8051	2
21832	12740	6
1266	20719	6
32375	8071	3
3995	16392	7
30089	9254	8
13337	2820	1
32551	18219	5
16960	9320	3
11909	98	4
12501	6906	5
2070	26392	3
28116	11889	7
7930	17776	1
6982	16995	7
2618	22553	6
982	11801	4
26211	32013	4
24160	849	4
3368	13346	5
=== Matrix Nr. 33 ===
6703	32533	1
4106	10897	2
30120	16170	1
9278	9927	5
8078	23498	1
23883	7184	7
10028	30890	3
8463	1538	7
6659	4467	1
31530	31157	7
28104	1336	1
12046	12069	8
19422	404	1
28440	12122	5
3990	14702	6
17534	25629	5
23242	7326	8
18177	3179	2
7349	23778	3
5273	9448	8
21796	16866	5
22681	13819	7
21055	28985	5
28414	16728	6
12705	12475	4
7143	18215	5
7556	6254	3
14432	7945	2
9503	30454	6
27921	15274	4
15243	9822	3
26732	28576	6
27338	2181	5
16745	193	2
12490	10648	5
14586	21317	8
23154	27747	6
7096	18497	6
5411	30562	8
29303	9058	3
26923	10954	7
19401	31221	4
28706	1806	5
402	24988	7
28710	26771	4
17721	24381	3
8564	10366	1
16933	1809	3
21967	23533	5
6525	25828	6
4523	25077	7
11109	12244	1
29991	1601	3
24883	3904	7
10032	288	5
18765	24230	1
24419	24420	3
8365	31888	1
15240	11108	5
12103	21749	2
21444	24062	1
29627	4497	7
3275	31081	8
20508	15129	6
2488	2361	1
3256	11361	8
26464	27110	7
26397	5324	5
10546	32685	2
21207	31129	5
1021	14254	2
24210	15851	4
3397	8075	4
11182	18341	6
21983	24315	4
24419	27499	6
11527	15369	5
15362	29797	1
17733	24057	6
30212	27805	3
18084	3085	6
11221	20745	4
4657	31893	4
30885	10406	7
10433	15900	4
14765	6185	4
23394	10119	6
6810	5176	6
13842	23940	4
10534	21027	6
1420	10909	8
22792	7061	6
32574	29895	6
22714	17337	5
32473	22090	4
11472	15557	5
3826	6475	5
2767	17130	4
6820	23662	6
11712	19990	3
17475	19519	6
11777	3600	6
372	28774	8
4856	11476	2
22345	23760	7
12465	315	4
28983	30294	7
15513	20554	5
25592	14221	3
11213	17868	6
18879	19894	6
12980	31992	6
5953	20246	4
28897	22612	5
8577	794	3
17777	5141	4
23145	2571	7
18269	173	7
24203	30022	7
14973	15175	3
6312	25139	7
25896	6234	3
4038	14705	2
13242	22689	5
31493	8427	3
28262	15131	7
622	19160	6
15137	7901	2
13936	25810	1
2181	15828	7
20430	20870	2
8186	9690	4
18464	23730	8
19598	1951	1
24383	3170	3
4415	19287	5
15406	25520	8
9385	10543	6
6242	10873	6
8524	22513	3
23154	27319	5
24816	20071	3
16795	8076	1
7884	9306	4
21917	23329	5
3960	26171	8
18129	16348	3
28383	15067	6
22679	24231	6
25501	7365	7
25701	12084	1
21647	12556	2
3611	14474	4
14477	938	8
29296	28472	3
20853	13777	1
32400	7170	1
31511	1199	4
19520	6380	7
2982	3991	6
24617	11238	6
1716	31382	8
4116	3463	4
25827	1744	6
13631	3997	1
16853	3134	4
13077	10873	2
12033	30891	4
21741	18756	8
1391	9722	4
9624	19642	8
10645	3608	2
14828	14623	5
7108	11569	6
914	12116	6
13540	21243	4
13233	31301	2
25204	18998	5
3419	28979	5
26121	10671	6
21957	1159	8
23491	25705	4
25767	20011	4
26727	22205	1
16739	16288	3
15147	11406	6
18880	22345	4
22609	8413	8
9559	29603	8
14628	20844	4
21768	13918	6
759	16685	1
4117	17056	2
14898	15017	8
26799	18633	4
14228	8111	2
28696	6040	1
5424	26084	1
22192	7556	6
5589	6152	1
24189	13986	5
1243	16916	7
30481	8818	6
1419	17015	8
4063	23134	2
4257	9503	1
10842	3302	6
17300	32019	8
1908	2714	4
30891	14270	4
1110	18806	8
12294	12617	4
26728	6211	5
28968	29584	7
6920	32513	7
18845	4500	8
377	27278	4
14555	3963	4
13808	28926	5
615	19325	3
28371	2406	1
22246	30282	8
22911	19718	4
22957	27093	3
28205	4375	7
3032	9092	6
27351	12196	1
26404	25393	8
16676	31547	1
16885	650	8
26567	27739	6
17236	4262	2
14807	26853	8
16736	18282	2
2245	11252	6
28421	25848	7
31047	2246	6
19907	23051	4
26591	7468	4
5293	31770	8
28021	6874	6
19167	32313	1
5366	17994	6
16122	28414	5
26095	26209	8
2811	2675	5
22819	2610	7
1858	8847	2
8138	19143	1
16725	16490	7
12660	3308	2
23351	12205	5
7630	11113	2
15996	4835	2
30389	27715	7
23132	15036	1
=== Matrix Nr. 34 ===
7263	17353	3
18025	4963	3
6270	16032	2
11204	25200	4
22187	2061	7
21723	5407	7
14205	29735	7
18450	20950	3
2324	19902	8
27634	12578	1
11012	30227	2
29613	16806	4
23776	14525	4
18703	6079	3
15829	8270	5
25922	29895	5
10526	10376	7
7146	23353	3
11821	29012	3
21630	31779	4
13531	8622	1
7156	8112	8
15630	3144	4
27916	19885	6
26245	28560	2
6126	23630	5
22736	26967	8
25037	31407	4
3230	31322	5
23497	6579	5
12009	20556	1
7254	4439	4
11173	3392	3
2240	22941	8
12540	31092	4
17583	30084	4
32065	2299	1
15284	5083	5
22816	28852	8
7497	15565	4
3247	16006	3
7623	29811	1
14706	5864	1
28479	22994	5
7278	28181	1
=== Matrix Nr. 35 ===
15163	18193	7
8925	23933	6
720	8903	4
16680	9814	3
15500	15282	8
28455	6225	1
24604	32573	4
24034	32747	1
24011	28817	6
14911	458	6
21534	18738	3
28006	28966	5
16445	27986	4
5829	19764	7
30186	11611	4
17648	13830	4
29235	31597	8
2522	25440	7
10279	5809	5
15384	2161	1
18731	2012	4
23081	9593	5
21198	28985	2
26111	9395	4
27176	31239	2
32310	21033	2
20772	20503	2
18365	22071	3
7246	11247	6
13797	26860	5
20468	17109	1
14345	2180	7
16832	28569	8
6989	10162	6
6161	26096	6
21545	6266	1
4798	19901	2
14014	32443	2
267	31396	6
13852	25037	6
30457	27055	7
25103	5807	6
2096	4600	8
22534	17601	8
6457	13964	6
1836	17660	7
18374	5899	3
20699	8230	6
4402	27049	5
1504	2677	8
19078	17568	5
22095	31638	6
16290	22072	1
19679	30759	4
30555	20967	5
12284	24045	1
14510	7740	5
29206	5757	6
4443	25230	5
2005	3081	7
22654	25774	2
22070	10902	6
=== Matrix Nr. 36 ===
2053	1543	8
17354	11203	4
24086	27887	6
8062	30181	6
5052	21019	3
21691	1837	3
10359	21361	8
6088	19466	5
23171	25775	1
9890	27661	1
29174	19360	3
14806	6896	3
6394	22741	6
7676	25496	4
9691	3862	1
31197	16679	6
2969	31509	1
20088	15987	4
11325	27135	3
5458	20099	4
5163	18685	4
22242	12518	2
18460	4298	6
30196	2805	1
22412	2022	6
3665	31586	8
25535	11024	8
29721	24488	2
20390	32520	4
28303	23349	8
26447	16329	3
1085	32351	2
3496	8384	3
26568	16267	1
30132	28332	2
7112	25357	5
10377	12064	2
2422	32424	7
11183	8934	2
22814	2998	3
5052	10167	6
11403	1891	1
15673	11007	2
15084	644	6
23092	674	5
2784	19173	8
3354	25096	7
29360	5676	6
31131	4307	7
28637	23203	6
6860	22024	2
7817	23683	3
22990	1439	2
28266	30361	5
25233	6056	3
30273	23387	5
7323	30606	5
18452	1992	1
3026	7966	2
14232	29603	8
16829	25694	8
29059	17137	7
442	29271	3
24018	27326	3
23319	1112	2
24603	28562	6
21011	30823	2
28802	11811	3
19760	30934	3
3312	3873	6
28256	9780	8
30104	11573	2
22511	8724	4
22768	24711	8
11066	28769	5
21160	25956	5
25495	10295	4
15946	31711	6
6639	11896	6
10621	31876	6
19972	923	4
31524	624	4
6232	23388	1
31709	1389	6
13351	4192	5
8573	7911	6
13050	24301	8
8862	19155	7
29631	31030	1
14431	20952	3
13664	19707	3
25577	15462	8
24920	1384	8
23114	18039	1
1207	17776	8
13516	23085	1
28297	5670	4
31964	11154	3
8362	25016	7
29189	14878	8
15465	24343	7
19907	19666	8
26240	23412	2
7181	1026	4
22098	9758	4
20711	26674	4
29299	22624	2
25188	32648	3
4313	5739	3
11219	31678	4
15186	1920	8
2587	4263	6
18700	29381	1
19045	1936	6
17497	31633	2
31654	15928	4
32750	13078	8
18614	8	6
335	28334	5
994	7890	7
3631	22839	3
20042	27723	7
18657	23361	3
5220	18408	1
27696	2301	5
18043	27901	1
28989	5676	4
3844	6945	2
18998	12163	2
8738	10050	7
29426	22072	2
26794	3575	5
29932	17849	6
3719	20465	4
=== Matrix Nr. 37 ===
11783	21693	8
12119	18323	1
16926	31277	5
19850	21274	7
11610	29587	3
16246	12519	5
435	19992	3
6930	21435	3
1082	5176	4
13411	21259	7
12012	29099	6
19382	32701	3
8774	3137	4
24636	8156	6
24027	27546	1
4266	29748	5
14727	25349	2
22247	211	5
8485	22505	2
3308	11735	6
4812	17543	1
22627	18466	3
881	21896	7
25595	18934	6
10158	16829	6
27717	21924	6
9810	24596	8
29781	7623	4
18437	23129	4
15971	21886	1
4295	21670	1
14705	17557	7
26066	13496	4
750	14376	2
17996	4961	8
21131	22680	8
7153	6649	7
23143	9874	6
13111	32121	5
6622	1044	4
10144	4364	3
11167	4022	2
31789	10283	8
18394	1955	2
305	17582	4
6552	14083	7
29275	24063	1
24566	26451	3
12966	27588	1
31219	22947	3
27547	27657	7
3203	32332	2
26072	10660	7
2909	12598	5
17306	22374	8
13116	4875	6
3698	22316	4
17275	21486	7
16071	2288	6
26766	16254	2
30496	8778	1
31389	145	8
23668	13091	6
6837	23842	5
4272	10115	3
15934	7006	6
18221	16332	8
11205	26339	1
17106	28601	5
7474	31109	5
23571	10742	5
31486	3383	2
272	8504	5
16660	17642	4
3195	18708	1
26961	22653	1
24591	12295	6
237	29723	1
30150	31088	3
9517	30098	3
9991	6508	7
22824	4750	8
19330	19923	4
18831	2229	5
6528	30400	1
29877	21790	7
28610	13941	5
7240	8860	3
30030	29557	7
13179	14024	5
21946	18726	4
30608	13270	1
24782	29284	1
23043	6561	4
2718	5821	7
10955	6755	8
17762	28251	2
22114	10266	3
187	14785	2
24218	9617	4
21033	25062	3
18023	29304	8
30933	2646	6
18469	11289	4
8963	16988	7
11014	1165	6
9667	9065	3
14247	4218	3
18372	23085	1
29955	28603	2
26185	9502	1
16736	18282	2
20025	20372	6
10166	3690	3
22241	1323	4
12597	24697	1
26339	30087	7
32085	23444	1
2060	15433	3
4029	22604	1
32479	5325	1
26182	5545	6
25926	386	8
16918	17248	8
10544	7061	4
17303	14188	5
6735	26945	8
27224	31718	6
22883	9059	2
26173	19700	3
16599	806	3
22929	2079	8
4515	5861	2
17354	17784	3
8360	18824	2
23334	10314	3
16386	18966	4
12141	14424	2
32014	26926	8
6770	5582	7
22278	24729	5
21295	26990	4
7050	23880	7
32409	24487	7
28018	7759	5
25964	6293	7
28599	7091	6
6316	4117	6
29014	32314	7
22159	26746	7
6267	19822	8
2	1923	4
14937	11157	8
29457	26786	2
6770	20310	8
14548	14517	2
1861	14643	3
13747	3772	5
919	30505	3
=== Matrix Nr. 38 ===
283	12853	2
13011	13079	3
17914	11048	6
25652	22713	6
8102	8447	3
11192	26197	2
24299	9414	4
18699	1903	1
4478	14442	3
31727	31527	1
6664	2051	5
8901	4099	3
12670	11097	6
27463	15699	7
23178	13601	7
18074	9849	7
13869	8867	6
2352	11963	7
21727	14790	8
29761	17503	7
8670	23743	4
10690	16453	5
28262	8648	2
3354	13124	7
266	25267	6
8718	19693	1
29033	19254	2
26777	16251	5
4844	32318	2
20392	13095	6
20826	2474	8
29173	3857	6
14430	23875	3
14196	10361	4
31570	9421	4
31505	22795	4
17651	3704	1
18352	9049	4
28358	32298	7
28842	30948	6
3668	17231	6
2370	30532	3
6795	27191	8
23490	6726	7
21983	805	6
19522	32543	2
29275	24063	1
14860	2208	1
23627	30982	4
26749	15273	6
7114	29137	4
11977	10197	1
2327	29029	7
4291	23182	1
1277	15648	1
4626	32727	3
24831	23685	8
14156	23667	8
32085	716	2
=== Matrix Nr. 39 ===
31493	20543	7
14674	29993	6
19797	32017	8
29745	5097	6
13509	11663	7
21888	16561	2
23962	29863	8
23454	1665	4
24827	2492	5
5127	14420	4
24431	28322	3
13412	16746	8
17042	17402	4
23708	11935	1
10273	9617	4
26964	6756	2
11438	19402	4
15261	11565	4
5774	20551	8
1487	25206	5
20972	9025	2
22198	18088	4
21762	19537	8
5018	31881	5
28640	19610	8
9938	6399	6
19797	12698	7
11232	23109	4
4811	28415	1
9028	31720	3
11073	15195	8
1927	31531	6
28060	16019	8
18998	6040	4
2312	12872	4
6840	18931	2
554	29634	1
12880	24513	5
8774	17401	3
1961	29735	3
5551	24012	8
4524	11980	7
10515	29590	2
29868	6143	7
11655	23695	2
26106	32088	2
6492	4038	4
4476	25727	7
4136	19861	1
10735	29170	2
9859	23001	4
22470	1999	8
1636	14429	3
17394	17685	8
7988	18995	2
21238	2010	1
22750	17901	5
6665	13668	3
25481	7675	4
31555	24873	5
29275	24063	1
17866	20375	5
30464	2085	8
18785	6660	8
28669	2049	2
27368	4363	6
=== Matrix Nr. 40 ===
11483	20993	7
2813	12027	7
7444	10170	2
24514	18845	7
8318	1017	8
7131	27345	3
6124	15458	2
31780	22743	6
10906	30892	5
32726	25451	4
16224	25234	1
1756	8769	1
31195	32199	8
126	1672	8
27412	31118	1
18611	17519	6
25167	5579	8
23733	31474	2
13822	29603	4
16299	28492	4
17944	28166	7
20106	32488	6
12343	28861	8
28282	26021	1
852	17611	8
858	28617	2
1022	32583	5
1093	30201	6
4940	15348	6
=== Matrix Nr. 41 ===
25123	26373	6
23052	8007	8
22688	30334	8
18139	21402	7
15402	6209	7
2335	25529	7
30662	4214	1
19489	2322	2
17361	23752	8
23744	20010	8
15124	26291	6
26985	22058	6
26034	6201	3
32599	16536	4
10699	25448	2
6487	3236	5
24575	25198	8
21362	8585	1
7686	14642	4
29781	18930	7
13341	8874	3
18513	3690	8
27129	25446	4
4926	32563	3
20093	2055	2
30132	14377	3
31083	12700	4
22348	18798	3
189	2845	7
2792	17941	2
11126	10875	5
17215	5645	7
10752	25846	4
23823	23284	7
24700	20934	7
20942	20380	4
10634	10034	5
8367	6245	8
30828	7590	6
30034	3778	5
30623	24949	3
6782	15480	5
15670	10042	1
11440	2943	2
156	25	6
21355	13707	2
30091	25180	5
22918	19111	7
7766	20496	2
7151	18535	6
7129	26804	2
17305	17310	8
19378	21530	5
27285	9371	4
30086	9218	4
30078	31317	2
28293	22312	8
25031	791	1
1643	25512	5
24200	18820	5
21421	26639	5
2267	11019	6
7315	10614	1
26097	22824	1
14703	10864	8
1117	30977	8
28724	14777	3
23371	32063	5
1043	10470	2
22941	17465	6
